Configuração,Seed,Acc_mean,Prec_mean,Rec_mean,F1_mean,F1_std
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,0,0.8564999999999999,0.8306000000000001,0.79812,0.8107599999999999,0.03521864562983646
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,1,0.82302,0.78468,0.72482,0.75078,0.13813799984073896
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,2,0.8643599999999999,0.82628,0.8279799999999999,0.82508,0.028835689691769088
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,3,0.82388,0.7863,0.775,0.77278,0.04937850747035604
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,4,0.8684000000000001,0.86396,0.7887,0.82112,0.06695843486820761
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,5,0.8601599999999999,0.82552,0.81932,0.81928,0.03601335863259629
Vgg_AUG_CV_DatasetOriginal,0,0.8999,0.85992,0.89276,0.87196,0.03658494225771035
Vgg_AUG_CV_DatasetOriginal,1,0.90832,0.88852,0.8897600000000001,0.88186,0.02872356175685739
Vgg_AUG_CV_DatasetOriginal,2,0.8958999999999999,0.85606,0.9005000000000001,0.8689600000000001,0.04239932782486063
Vgg_AUG_CV_DatasetOriginal,3,0.8917400000000001,0.8913399999999999,0.8479800000000001,0.8485800000000001,0.09734724957593822
Vgg_AUG_CV_DatasetOriginal,4,0.89212,0.84916,0.8783,0.8618399999999999,0.019990447718848142
Vgg_AUG_CV_DatasetOriginal,5,0.8760999999999999,0.8573000000000001,0.8194000000000001,0.8349399999999999,0.06537390916871957
Vgg_AUG_CV_DatasetSegFixedTagTemp,0,0.8436199999999999,0.83576,0.76334,0.78904,0.07064430621076268
Vgg_AUG_CV_DatasetSegFixedTagTemp,1,0.85394,0.81816,0.8156399999999999,0.81294,0.07103916525410472
Vgg_AUG_CV_DatasetSegFixedTagTemp,2,0.8512599999999999,0.81418,0.79036,0.8010999999999999,0.08133799850008606
Vgg_AUG_CV_DatasetSegFixedTagTemp,3,0.8721400000000001,0.78926,0.9214399999999999,0.8475199999999999,0.0040071186655750626
Vgg_AUG_CV_DatasetSegFixedTagTemp,4,0.8548199999999999,0.8645400000000001,0.73048,0.77954,0.13168262223999036
Vgg_AUG_CV_DatasetSegFixedTagTemp,5,0.8513,0.79078,0.8484999999999999,0.8139200000000001,0.04703782520482848
Vgg_AUG_CV_DatasetSegYolo,0,0.8358800000000001,0.7605000000000001,0.8558,0.8009000000000001,0.037792261112561114
Vgg_AUG_CV_DatasetSegYolo,1,0.8324400000000001,0.80106,0.7536799999999999,0.77444,0.09554890370904318
Vgg_AUG_CV_DatasetSegYolo,2,0.8960000000000001,0.8366,0.90722,0.86982,0.07547746021164202
Vgg_AUG_CV_DatasetSegYolo,3,0.82012,0.7761,0.7623800000000001,0.75968,0.08340013189438014
Vgg_AUG_CV_DatasetSegYolo,4,0.8484999999999999,0.82842,0.7924599999999999,0.8037000000000001,0.04040402207701604
Vgg_AUG_CV_DatasetSegYolo,5,0.8285199999999999,0.78262,0.80236,0.7854,0.018979989462589282
Vgg_AUG_CV_DatasetSegYolo2classes,0,0.8484400000000001,0.7905599999999999,0.8268599999999999,0.8048400000000001,0.042560462873422814
Vgg_AUG_CV_DatasetSegYolo2classes,1,0.8401799999999999,0.7677400000000001,0.86704,0.80948,0.08793982033186107
Vgg_AUG_CV_DatasetSegYolo2classes,2,0.83578,0.8065200000000001,0.77518,0.78612,0.10836178754524127
Vgg_AUG_CV_DatasetSegYolo2classes,3,0.86372,0.8185600000000001,0.84794,0.82772,0.05187303731226847
Vgg_AUG_CV_DatasetSegYolo2classes,4,0.8840399999999999,0.8599600000000001,0.8474600000000001,0.8465,0.0542311257489645
Vgg_AUG_CV_DatasetSegYolo2classes,5,0.88376,0.86198,0.84418,0.8484,0.0595908130503352
Vgg_AUG_CV_DatasetSegmentadoUnet,0,0.83536,0.79516,0.76958,0.7806,0.07557145625168278
Vgg_AUG_CV_DatasetSegmentadoUnet,1,0.8481799999999999,0.82398,0.77434,0.79766,0.05627604286017274
Vgg_AUG_CV_DatasetSegmentadoUnet,2,0.8546400000000001,0.8371000000000001,0.77492,0.7982,0.09530697770887504
Vgg_AUG_CV_DatasetSegmentadoUnet,3,0.8003600000000001,0.76268,0.74346,0.73962,0.0233625127073267
Vgg_AUG_CV_DatasetSegmentadoUnet,4,0.8436199999999999,0.80526,0.79474,0.7942199999999999,0.04704978214614814
Vgg_AUG_CV_DatasetSegmentadoUnet,5,0.86028,0.84566,0.7923600000000001,0.8142800000000001,0.028871127445945013
Vgg_AUG_CV_DatasetSemMarcador,0,0.8283200000000001,0.8020799999999999,0.7461800000000001,0.76928,0.043679365837887334
Vgg_AUG_CV_DatasetSemMarcador,1,0.8163600000000001,0.7449,0.8151400000000001,0.77602,0.05402339308114595
Vgg_AUG_CV_DatasetSemMarcador,2,0.7667200000000001,0.68282,0.73656,0.70818,0.12356062074949287
Vgg_AUG_CV_DatasetSemMarcador,3,0.84762,0.85174,0.76568,0.7825599999999999,0.1253398699536584
Vgg_AUG_CV_DatasetSemMarcador,4,0.8234400000000001,0.79396,0.7412799999999999,0.7641600000000001,0.053733816168219456
Vgg_AUG_CV_DatasetSemMarcador,5,0.8198599999999999,0.8445599999999999,0.6805,0.7437400000000001,0.0443033068743181
Vgg_AUG_CV_DatasetTagFixedTam,0,0.8674799999999999,0.84806,0.80054,0.8214600000000001,0.054609962461074794
Vgg_AUG_CV_DatasetTagFixedTam,1,0.86518,0.84906,0.8229599999999999,0.8241200000000001,0.06283830042259259
Vgg_AUG_CV_DatasetTagFixedTam,2,0.85218,0.80244,0.8233600000000001,0.81158,0.04377907034188824
Vgg_AUG_CV_DatasetTagFixedTam,3,0.8557600000000001,0.79582,0.85864,0.8228,0.07150321671085856
Vgg_AUG_CV_DatasetTagFixedTam,4,0.88318,0.87188,0.80718,0.8342,0.08672920500039182
Vgg_AUG_CV_DatasetTagFixedTam,5,0.8490800000000001,0.80346,0.82244,0.80824,0.12267468361483556
